ID,Acronymn,EQ,Definition,Type
*,BIOS,=,Basic Input Output System,
*,BKM,=,Best Known Method,
*,BLE,=,Bluetooth Low Energy,
*,BOM,=,Bill of Material,
*,BPMN,=,Business Process Model Notation,
*,BTP,=,Behavioral Threat Protection,
*,BTW,=,By The Way,
*,BVA,=,Business Value Assessment,
*,BYOK,=,Bring Your Own Key,
*,CA,=,Certificate Authority,(issues cryptographic certificates)
*,CaC,=,Configuration as Code,
*,CAF,=,Cloud Adoption Framework,
*,CAGR,=,Compound Annual Growth Rate,
*,CAIQ,=,Consensus Assessments Initiative Questionnaire,
*,CAM,=,Corporate Account Manager,(role)
*,CAP,=,Common Alerting Protocol,(XEP-127)
*,CAPEX,=,Capital Expenditures,
*,CAPTCHA,=,Completely Automated Public Turing (test) to tell Computers and Humans Apart,
*,CASB,=,Cloud Access Security Broker,(enterprise management software that mediates access to cloud services by users across all types of devices)
*,CCB,=,Change Control Board,(organization)
*,CCE,=,Critical Customer Escalation,
*,CCM,=,Cloud Controls Matrix,(from CSA)
*,CCM,=,Continuous Controls Monitoring,
*,CCM,=,Customer Communications Management,
*,CCP,=,Crisis Communication Plan,
*,CDK,=,Cloud Development Kit,(Amazon)
*,CDM,=,Continuous Diagnostics and Mitigation,
*,CDN,=,Content Distribution Network,
*,CEO,=,Chief Exective Office,
*,CfCT,=,Customizations for Control Tower,Amazon
*,CD,=,Continuous Deployment,(into Production for Productive use)
*,CE,=,Community Edition,
*,CF,=,CloudFormation,
*,CI,=,Continuous Integration,
*,CIDR,=,Classless Inter-Domain Routing,
*,CIEM,=,Cloud Infrastructure and Entitlement Management,(invented by Gartner)
*,CIS,=,Center for Internet Security,
*,CISA,=,Cybersecurity and Infrastructure Security Agency,(US government organization)
*,CKL,=,Compromised Key List,
*,CKMS,=,Cryptographic Key Management System,
*,CLI,=,Command Line Interface,
*,CMK,=,Customer-Managed Key,(for encryption)
*,CMP,=,Cloud Management Platform,(for easier use of multiple clouds)
*,CNAME,=,Canonical Name Record,(DNS)
*,CNI,=,Container Network Interface,(Kubernetes)
*,CMDB,=,Configuration Management Database,(ITIL term for where all aspects of the system is defined)
*,COBRA,=,Customer Onboarding and Rapid Adoption,(HashiCorp term)
*,COGS,=,Cost of Goods Sold,(Financial Accounting)
*,COSO,=,Committee of Sponsoring Organization,
*,CPA,=,Certified Public Accountant,
*,CPU,=,Central Processing Unit,
*,CRD,=,Custom Resource Definition,(Extends Kubernetes API)
*,CRI,=,Container Runtime Interface,(Kubernetes)
*,CRR,=,Cross-Region Replication,
*,CRL,=,Certificate Revocation List,
*,CRM,=,Customer Relationship Management,
*,CS,=,Customer Success,(organization)
*,CSA,=,Cloud Security Alliance,
*,CSB,=,Cloud Service Broker,
*,CSC,=,Cloud Service Customer,
*,CSE,=,Customer Success Engineer,
*,CSI,=,Container Storage Interface,(Kubernetes)
*,CSM,=,Customer Success Manager,
*,CSP,=,Cloud Service Provider,
*,CSP,=,Cryptographic Service Provider,
*,CSPM,=,Cloud Security Posture Management,
*,CSR,=,Certificate Signing Request,
*,CTA,=,Call To Action,
*,CTI,=,Cyber Threat Intelligence,
*,CTO,=,Chief Technology Officer,
*,CTS,=,Consul-Terraform Sync,(HashiCorp product)
*,CVE,=,Common Vulnerabilities and Exposures,
*,CWPP,=,Cloud Workload Protection Platform,
*,DA,=,Developer Advocate,
*,DB,=,Database,
*,DCAP,=,Data-Centric Audit Protection,
*,DDoS,=,Distributed Denial of Service Attack,
*,DEI,=,Diversity + Equity + Inclusion,
*,DES,=,Digital Encryption Standard,(56 bits),
*,DHCP,=,Dynamic Host Configuration Protocol,(automatically assigns IP addresses to devices on a network)
*,DHS,=,Department of Homeland Security,(US government organization)
*,DLP,=,Data Loss Prevention,
*,DMZ,=,De-Militarized Zone,
*,DNC,=,Do Not Connect,
*,DNS,=,Domain Name Service,
*,DOD,=,Department of Defense,(US government organization)
*,DPIA,=,Data Protection Impact Assessment,
*,DR,=,Disaster Recovery,
*,DRI,=,Directly Responsible Individual,(Coined by Apple for the person to make sure that a task is completed)
*,DRP,=,Disaster Recovery Plan,(to transition from alternative business processes back to regular processes.)
*,DRPO,=,Defense Research & Development Organization,
*,DRY,=,Don't Repeat Yourself,
*,DSC,=,Digital Signature Algorithm,(algorithm for signatures)
*,DTC,=,Diagnostic Trouble Code,
*,DTLS,=,Datagram Transport Layer Security,
*,DX,=,Develooper eXperience,
*,E2E,=,End-to-End,
*,EA,=,Enterprise Architect,
*,EAL,=,Evaluation Assurance Level,(1-7 of Common Criteria)
*,EAP,=,Extensible Authentication Protocol,(a framework for port-based access control which uses the same three primary components that are used in the RADIUS standard.)
*,EAR,=,Export Administration Regulations,(US)
*,EBS,=,Elastic Block Store,(Amazon)
*,ECDSA,=,Elliptic Curve Digital Signature Algorithm,(algorithm for signatures)
*,EDI,=,Electronic Data Interchange,
*,EE,=,Enterprise Edition,
*,EIN,=,Employer Identification Number,
*,EC2,=,Elastic Cloud Compute,
*,ECR,=,Elastic Container Registry,(Amazon)
*,ECS,=,Elastic Container Service,(Amazon)
*,ECU,=,EC2 compute unit,(Amazon)
*,EDR,=,Endpoint Detection and Remediation,
*,EFS,=,Elastic File System,(Amazon)
*,EFT,=,Electronic Funds Transfer,
*,ELA,=,Enterprise License Agreement,
*,EMR,=,Elastic Map Reduce,(Amazon)
*,EKS,=,Elastic Kubernetes Service,(Amazon)
*,ELB,=,Elastic Load Balancer,
*,EMEA,=,Europe + Middle East + Africa,
*,EMI,=,Electro-Magnetic Interference,
*,ENI,=,Elastic Network Interface,(Amazon)
*,EPS,=,Earnings Per Share,
*,ETL,=,Extract Transform and Load,
*,EOQ,=,End of Quarter,
*,EOM,=,End of Month,
*,EO,=,Executive Order,
*,EOY,=,End of Year,
*,ERM,=,Enterprise Risk Management,
*,ERP,=,Enterprise Resource Planning,(SAP does this)
*,EU,=,European Union,
*,EV,=,Extended Validation,(certificate)
*,FBL,=,Feedback Loop,
*,FDE,=,Full Disk Encryption,
*,FEDRAMP,=,Federal Risk and Authorization Management Program,
*,FIFO,=,First In - First Out,
*,FIM,=,Federated Identity Management,
*,FIM,=,File Integrity Monitoring,
*,FOMO,=,Fear Of Missing Out,
*,FTE,=,Full Time Employee/Equivalent,
*,FQDN,=,Fully Qualified Domain Name,
*,FSM,=,Finite State Machine,
*,FYE,=,Fiscal Year End,
*,FUD,=,Fear Uncertainty and Doubt,
*,GAPP,=,Generally Accepted Privacy Principles,(developed by accountants)
*,GA,=,General Availability,
*,GAM,=,Global Account Manager,(job role)
*,GB,=,Gigabytes,(173741824 bytes or 1024 megabytes)
*,GCE,=,Google Compute Engine,
*,GCP,=,Google Cloud Platform,
*,GDPR,=,General Data Protection Regulation,(EU Regulation 2016/679)
*,GKE,=,Google Kubernetes Engine,
*,GKS,=,Google Kubernetes Service,
*,GLB,=,Global Load Balancing,
*,GNM,=,Global Network Manager,(HashiCorp product feature)
*,GNU,=,GNU is Not Unix,(a recursive acronym for the set of commands in Linux Bash scripts)
*,GPG,=,GNU Privacy Guard,(software program to handle encryption)
*,GPS,=,Global Positioning System,
*,GRC,=,Governance Risk and Compliance,
*,gRPC,=,Global Remote Procedure Call,(a protocol to connect services)
*,GSI,=,Global System Integrator,
*,GTM,=,Go To Market,
*,GUI,=,Graphical User Interface,
*,H2M,=,Human to Machine,(interface)
*,HA,=,High Availability,
*,HC,=,HashiCorp,
*,HCL,=,HashiCorp Configuration Language,
*,HD,=,High Definition,
*,HCM,=,Human Capital Management,(system for HR processes)
*,HCP,=,HashiCorp Cloud Provider,
*,HCS,=,HashiCorp Consul Service,(SaaS on Azure)
*,HIPAA,=,Health Insurance Portability and Accountability Act,
*,HiPPO,=,Highest Paid Person’s Opinions,
*,HMI,=,Human-Machine Interface,
*,HPA,=,HorizontalPodAutoscaler,(Kubernetes)
*,HPC,=,High Performance Compute,
*,HR,=,Human Resources,
*,HSM,=,Hardware Security Module,
*,HTML,=,HyperText Markup Language,
*,HTTPS,=,HyperText Transfer Protocol Secure,(the protocol that uses port 443)
*,HVA,=,High Value Asset,
*,HVN,=,HashiCorp Virtual Network,
*,I18N,=,Internationalization,(numeronym - 18 letters between "i" and "n")
*,IA,=,Interoperability Agreement,(between enterprises)
*,IaaS,=,Infrastructure as a Service,
*,IaC,=,Infrastructure as Code,
*,IAB,=,Internet Architecture Board,(maintains an ethics-related statement concerning the use of the Internet. A technical advisory group of researchers and technical professionals responsible for Internet growth and management strategy and standards oversight.)
*,IAM,=,Identity and Access Management,
*,IAST,=,Interactive Application Security Testing,
*,IC,=,Integrated Circuit,
*,ICFR,=,Internal Control over Financial Reporting,
*,ICMP,=,Internet Control Message Protocol,(used by the Linux ping command)
*,ICT,=,Information and Communication Technology,
*,ICYMI,=,In Case You Missed It,
*,ID,=,Identifier,
*,IDaaS,=,Identity as a Service,
*,IDE,=,Integrated Development Environment,
*,IdP,=,Identity Provider,(such as Okta)
*,IDS,=,Intrusion detection system,(A detective control used to detect attacks after they occur. A signature-based IDS (also called definition-based) uses a database of predefined traffic patterns. An anomaly-based IDS (also called behavior-based) starts with a performance baseline of normal behavior and compares network traffic against this baseline. An IDS can be either host-based (HIDS) or network-based (NIDS).
*,IETF,=,Internet Engineering Task Force,
*,IGA,=,Identity Governance and Administration,
*,IIoT,=,Industrial Internet of Things,
*,ILT,=,Instructor-Led Training,
*,IM,=,Internet Messaging,
*,IOCs,=,Indicators of Compromise,
*,IOPS,=,Input Output Per Second,(Amazon)
*,IOT,=,Internet of Things,
*,IP,=,Internet Protocol,
*,IPAM,=,IP Address Manager,(AWS feature that manages CIDR ranges)
*,IPE,=,Information Produced by the Entity,
*,IPS,=,Intrusion Protection System,(detect or prevent network security attacks such as brute force attacks)
*,IPsec,=,Internet Protocol security,
*,IPO,=,Initial Public Offering,
*,IRT,=,Incident Response Team,
*,ISO,=,International Standards Organization,
*,ISP,=,Internet Service Provider,(company that provides access to the internet)
*,ISV,=,Independent Software Vendor,
*,IT,=,Information Technologies,
*,ITAR,=,International Traffic in Arms Regulations,(US)
*,ITIL,=,Information Technology Infrastructure Library,
*,ITSM,=,IT Service Management,(implemented of Service Now)
*,JSON,=,JavaScript Notation,
*,JWT,=,JSON Web Token,(Internet standard for creating data with optional signature and/or optional encryption whose payload payload holds JSON that asserts some number of claims)
*,K8s,=,Kubernetess,(numeronym of 8 letters between K and S)
*,KDC,=,Key Distribution Center,
*,KMIP,=,Key Management Interoperability Protocol,
*,KMS,=,Key Management Service,(Amazon)
*,KPI,=,Key Performance Indicator,
*,KTS,=,Kubernetes Threat Detection,(Google service)
*,KRI,=,Key Recovery Information,
*,KV,=,Key-Value,(data storage format)
*,KYC,=,Know Your Customer,
*,L18N,=,Localization,(numeronym of 18 letters between L and N)
*,LAN,=,Local Area Network,
*,LDAP,=,Lightweight Directory Access Protocol,(used by Linux to manage user and group access)
*,LIFO,=,Last In - Last Out,
*,LLC,=,Limited Liability Company,
*,LMS,=,Learning Management System,
*,MAC,=,Media Access Control,(address)
*,MBR,=,Master Boot Record,
*,MDM,=,Mobile Device Management,
*,MFA,=,Multi-Factor Authentication,
*,MitB,=,Man-in-the-Browser,(attack vector)
*,MitM,=,Man-in-the-Middle,(an attack in a form of active interception allowing an attacker to intercept traffic and insert malicious code sent to other clients. Kerberos provides mutual authentication and helps prevent MITM attacks)
*,ML,=,Machine Learning,
*,MSA,=,Master Service Agreement,
*,MSI,=,Managed Service Identity,
*,MTD,=,Month-To-Date,
*,mTLS,=,Mutual TLS,
*,MOR,=,Minimum Operating Requirements,(describes the minimum environmental and connectivity requirements in order to operate computer equipment)
*,MTD,=,Maximum Tolerable Downtime,
*,MQTT,=,MQ Telemetry Transport,
*,MTA,=,Mail Transfer Agent,
*,MTTD,=,Mean Time To Detect,
*,MTTR,=,Mean Time To Restore/Resolution,
*,MTU,=,Maximum Transmission Unit,(networking)
*,MVP,=,Minimal Viable Product,
*,NAC,=,Network Admission Control/Controller,(Cisco)
*,NAT,=,Network Address Translation,(allows devices on a private network to communicate with a public network through a networking gateway)
*,NB,=,No Problem,
*,NFR,=,Non-Functional Requirements,
*,NDE,=,Net Dollar Expansion,
*,NDRR,=,Net Dollar Retention Rate,
*,NFS,=,Network File System,
*,NGFW,=,Next-Generation firewall,(Orginally from Palo Alto - it examines application data to filter traffic at the application layer of networks)
*,NIA,=,Network Interface,(HashiCorp product feature)
*,NIC,=,National Interface Card,
*,NIST,=,National Institute of Standards and Technology,(US)
*,NLB,=,Network Load Balancer,(Amazon)
*,NPS,=,Net Promoter Score,
*,NDAA,=,National Defense Authorization Act of 2020 and 2021,
*,NSG,=,Network Security Group,(Azure)
*,NTA,=,Network Traffic Anomaly,
*,NTP,=,Network Time Protocol,
*,NVD,=,National Vulnerability Database,(weaknesses in the computational logic code, maintained by the US government for the world)
*,OCSP,=,Online Certificate Status Protocol,
*,OCM,=,Organizational Change Management,
*,OEM,=,Original Equipment Manufacturer,
*,OKR,=,Objectives and Key Results,
*,OIDC,=,OpenID Connect,(open authentication protocol that profiles and extends OAuth 2.0 to add an identity layer. OIDC allows clients to confirm an end user’s identity using authentication by an authorization server.)
*,OOP,=,Object Oriented Programming,
*,OPA,=,Open Policy Agent,
*,OS,=,Operating System,
*,OSCAL,=,Open Security Controls Assessment Language,(NIST-defined format for communicating CVEs)
*,OSS,=,Open Source Software,
*,OU,=,Organizational Unit,
*,OWASP,=,Open Web Application Security Project,
*,PaaS,=,Platform as a Service,
*,PaC,=,Policy as Code,
*,PAM,=,Privileged Access Management,
*,PAT,=,Port Address Translation,
*,PBC,=,Provided By Client,(SOC term)
*,PC,=,Personal Computer,(refers to a Microsoft Windows machine)
*,PCI,=,Peripheral Components Interconnect,
*,PCI DSS,=,Payment Card Industry Data Security Standard,(private regulation by credit card processors to prevent identity theft)
*,PDF,=,Portable Document Format,(the format created by Adobe to create a univerally accessible file containing graphics and text)
*,PEP,=,Policy Enforcement Point,(a Gateway which filters requests and makes eXtensible Access Control Markup Language (XACML) to a Policy Decision Point (PDP)
*,PFS,=,Perfect Forward Secrecy,
*,PHI,=,Protected Health Information,
*,PID,=,Process Identifier,
*,PII,=,Personally Identifiable Information,
*,PIN,=,Personal Identification Number,(a secret consisting of a small number)
*,PKI,=,Public Key Infrastructure,
*,PM,=,Product Management/Manager,
*,P&L,=,Profit and Loss,
*,PMM,=,Product Marketing Manager,(organizatonal role)
*,PMO,=,Project Management Office,
*,PoC,=,Proof of Concept,
*,POLP,=,Principle of Least Privilege,
*,PPTP,=,Point-to-Point Tunneling Protocol,
*,PR,=,Pull Request,(GitHub feature for suggesting code changes and integrating them into the main code base)
*,PS,=,Professional Services,
*,PSE,=,Professional Services Engineer,
*,PSK,=,Pre-Shared Key,
*,PUA,=,Potentially Unwanted Application,
*,PV,=,Persistent Volume,(Kubernetes)
*,PVC,=,Persistent Volume Claim,(Kubernetes)
*,QA,=,Quality Assurance,
*,QBR,=,Quarterly Business Review,
*,QoQ,=,Quarter on Quarter,
*,QoS,=,Quality of Service,
*,RACI,=,Responsible + Accountable + Consulted + Informed,(Responsibility Assignment Matrix)
*,RAID,=,Redundant Array of Independent Disks,
*,RAM,=,Random Access Memory,
*,RBAC,=,Role Based Access Control,
*,RCA,=,Root Cause Analysis,
*,RDP,=,Remote Desktop,(Microsoft technology for users to access a Windows computer remotely)
*,REST,=,Representational State Transfer,
*,RGB,=,Red Green Blue,(colors)
*,RISC,=,Reduced Instruction Set Computing,
*,RBG,=,Random Bit Generator,
*,RCA,=,Root Cause Analysis,
*,RFP,=,Request for Proposal,
*,RMF,=,Risk Management Framework,
*,ROA,=,Return on Assets,
*,ROE,=,Return on Equity,
*,ROI,=,Return on Investment,
*,ROM,=,Read-only Memory,
*,ROS,=,Return on Sales,
*,RPA,=,Robotic Process Automation,
*,RPC,=,Remote Procedure Call,
*,RPO,=,Recovery Point Objective,
*,RPS,=,Requests Per Second,
*,RSA,=,Resident System Engineer,(role within HashiCorp)
*,RSA,=,Rivest–Shamir–Adleman,(an encryption algorithm named based on the initials of those who invented it, and the company they founded)
*,RTC,=,Real Time Clock,
*,RTO,=,Recovery Time Objective,
*,S3,=,Simple Storage Service,(Amazon file service)
*,SaaS,=,Software as a Service,
*,SAML,=,Security Assertion Markup Language,(XML-based standard for authentication and authorization)
*,SAP,=,Systems Applications and Product,(large German ERP software company)
*,SAP,=,System Assessment Plan,
*,SARs,=,System Assessment Results,
*,SASE,=,Secure Access Service Edge,(Trust Broker SaaS by Palo Alto Prisma, zScaler, Cato, Cloudfare)
*,SAST,=,Static Application Security Testing,
*,SBOM,=,Software Bill of Materials,
*,SCA,=,Software Composition Analysis,
*,SCADA,=,Supervisory Control And Data Acquisition,
*,SCC,=,Security Command Center,(Google's SOC service)
*,SCEP,=,Simple Certificate Enrollment Protocol,
*,SCM,=,Source Control Manager,(such as GitHub)
*,SCP,=,Service Control Policies,(in AWS to govern the use of other IAM policies)
*,SEA,=,Solutions Engineering & Architecture,(HashiCorp pre and post sale grouping)
*,SDK,=,Software Development Kit,
*,SDN,=,Software-Defined Networking,(used by AWS - an advancement to BGP used on public networks)
*,SDLC,=,System Development Life Cycle,
*,SDP,=,Software Defined Perimeter,
*,SES,=,Simple Email Service,(Amazon)
*,SF,=,Service Fabric,(Azure)
*,SHA,=,Secure Hash Algorithm,(a method to identify whether a file has been altered - also used by GitHub to create an index)
*,SI,=,Systems Integrator,
*,SIEM,=,Security Information and Event Management,
*,SIG,=,Special Interest Group,
*,SLA,=,Service Level Agreement,
*,SLE,=,Single Loss Expectancy,
*,SLI,=,Service Level Indicator,
*,SLO,=,Service Level Objective,
*,SME,=,Subject Matter Expert,
*,SNMP,=,Simple Network Management Protocol,
*,SMTP,=,Simple Mail Transfer Protocol,
*,SNS,=,Simple Notification Service,(Amazon service send and receive notifications from the cloud)
*,SOAP,=,Simple Object Access Protocol,(uses XML)
*,SOC,=,Security Operations Center,
*,SOA,=,Service Oriented Architecture,
*,SOP,=,Standard Operating Procedure,
*,SOX,=,Sarbanes-Oxley Act,
*,SQL,=,Structured Query Language,
*,SPI,=,Service Provider Interface,
*,SQS,=,Simple Queue Service,(Amazon hosted queues)
*,SOAR,=,Security Orchestration Automation and Response,
*,SPI,=,Secure Personal Information,
*,SPOC,=,Single Point of Contact,
*,SPOF,=,Single Point of Failure,
*,SRA,=,Security Reference Architecture,
*,SRE,=,Site Reliability Engineer,(job role)
*,SSAE,=,Statement on Standards for Attestation Engagements,
*,SSD,=,Solid-State Drive,
*,SSE,=,Security Service Edge,
*,SSE,=,Server-Side Encryption,
*,SSDLC,=,Secure Software Development Lifecycle,
*,SSH,=,Secure Shell,(a Linux feature to enable remote access of computers)
*,SSL,=,Secure Sockets Layer,
*,SSN,=,Social Security Number,(used by the US government to unique identify an individual)
*,SSO,=,Single Sign On,
*,SSP,=,System Security Plan,
*,SSRM,=,Shared Security Responsibility Model,
*,STS,=,Security Token Service,(Amazon service)
*,STS,=,StatefulSets,(Kubernetes)
*,SWG,=,Secure Web Gateway,
*,TAM,=,Total Addressable Market,
*,TB,=,TerraByte,
*,TDM,=,Technical Decision Maker,(vs. Business Decision Maker)
*,TFC,=,Terraform Cloud,(SaaS Terraform offering)
*,TFE,=,Terraform Enterprise,(self-installed/managed Terraform)
*,TIC,=,Tusted Internet Connection,
*,TIN,=,Tax Identification Number,
*,TCSEC,=,Trusted Computer System Evaluation Criteria,
*,TCO,=,Total Cost of Ownership,
*,TDD,=,Test-Driven Development,
*,TDM,=,Technical Decision Maker,
*,TFE,=,Terraform Enterprise,
*,TGW,=,Transit GateWay,(in AWS cloud)
*,TH,=,Threat Hunting,
*,TIP,=,Threat Intelligence Platform,
*,TLD,=,Top Level Domain,(the letters after the last dot on URLs processed by DNS)
*,TLS,=,Transport Layer Security,
*,TOE,=,Target of Evaluation,(what is being evaluated by the Common Criteria EAL)
*,TOTP,=,TIme-Based One Time Password,
*,TPM,=,Trusted Platform Module,
*,TPRM,=,Third Party Risk Management,
*,TSC,=,Trust Service Criteria,
*,TSI,=,Trustworthy Software Initiative,(UK)
*,TTL,=,Time to Value,
*,TTL,=,Time To Live,
*,TTS,=,Text To Speech,
*,UAT,=,User Acceptance Test,
*,UCS,=,User,
*,UDS,=,Unified Diagnostic Services,(use in vehicles)
*,UEBA,=,User and Entity Behavior Analytics,(detect any anomalous behavior - deviations from normal patterns of usage which have security implications)
*,UEM,=,Unified Endpoint Management,
*,UDP,=,User Datagram Protocol,(networking)
*,URI,=,Universal Resource Identifier,
*,URL,=,Universal Resource Locator,
*,URM,=,Under-Represented Minority,
*,UTC,=,Coordinated Universal Time,(the new term for GMT)
*,USB,=,Universal Service Bus,
*,UX,=,User eXperience,
*,VAT,=,Value Added Tax,
*,VBO,=,Value Based Outcome,
*,VCS,=,Version Control System,
*,VDP,=,Vulnerability Disclosure Program,
*,VIP,=,Virtual IP,(address)
*,VLAN,=,Virtual Local Area Network,
*,VM,=,Virtual Machine,
*,VoIP,=,Voice over Internet Protocol,
*,VRRP,=,Virtual Router Redundancy Protocol,
*,VRM,=,Vendor Risk Management,
*,VPA,=,Vertical Pod Autoscaler,(Kubernetes)
*,VPC,=,Virtual Private Cloud,(Amazon)
*,VPN,=,Virtual Private Network,
*,vTPM,=,Virtual Trusted Platform Module,
*,VUCA,=,Volatile + Uncertain + Complex + Ambiguous,
*,W3C,=,World Wide Web Consortium,
*,WAAP,=,Web application and API protection,(a comprehensive security approach as enhancement over web application firewalls)
*,WABD,=,Well Architected By Design,
*,WAF,=,Web Application Firewall,(Amazon)
*,WAF,=,Well Architected Framework,
*,WEP,=,Wired Equivalent Privacy,
*,WPA,=,Wi-Fi Protected Access,
*,WSDL,=,Web Services Description Language,
*,XaaS,=,Anything as a Service,
*,XDR,=,Extended Detection and Response,"(Palo Alto Network's new SaaS-based approach to threat detection and response that integrates multiple security products to provides holistic protection against cyberattacks unauthorized access and misuse.)"
*,XML,=,Extensible Markup Language,
*,XMPP,=,Extensible Message and Presence Protocol,
*,YAML,=,YAML Aint Markup Language,
*,YTD,=,Year-To-Date,
*,ZT,=,Zero Trust,
*,ZTA,=,Zero Trust Architecture,
*,ZTS,=,Zero Trust Security,
*,ZTNA,=,Zero Trust Network Access/Architecture,
